,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,-0.034,-0.016,0.004,-0.016,-0.01,-0.016,-0.003,-0.015,-0.036,-0.01,0.0,0.001,0.003,-0.003,-0.001,0.0,-0.002,-0.002,0.0,0.0,0.0
1,0.001,0.002,-0.013,-0.012,-0.028999999999999998,-0.02,-0.009000000000000001,-0.007,-0.008,-0.005,0.0,-1.734723475976807e-18,0.012,0.012,-0.004,0.011000000000000003,-0.006,0.008,-0.002,0.0,0.0
2,-0.019,-0.02,0.0,-0.015,0.003,-0.036000000000000004,-0.012000000000000002,0.0,-0.001,-0.012,-0.012,-0.024,0.002,-0.016,-0.003,0.012,0.025,0.0,-0.006,-0.003,0.0
3,0.0,0.003,0.0,-0.019,-0.032,-0.014,-0.006,0.003000000000000001,-0.007,-0.024,-0.006,-0.006,-0.011,-0.008,0.004,-0.002,0.0,0.0,0.0,0.0,0.0
4,0.0,0.008,-0.03,-0.046,0.008,0.004,0.0010000000000000009,0.0,-0.007999999999999998,-0.007,-0.006,0.008,-0.016,-0.005000000000000002,-0.02,-0.008,-0.008,0.0,-0.008,-0.004,0.0
5,0.0,-0.045,0.0,0.005,0.005,-0.012,0.017,-0.0009999999999999992,0.02,0.006,-0.014,0.01,0.012999999999999998,-0.019000000000000003,-0.002,-0.005,-0.02,-0.01,-0.012,0.0,0.0
6,0.01,0.008,0.024,-0.04,0.005,0.0,-0.008,0.0,-0.003999999999999999,-0.024,0.0,-0.01,0.012999999999999998,-0.007000000000000004,-0.005,-0.030000000000000002,-0.005,0.0,-0.008,-0.008,0.0
7,0.034,0.012,0.0,0.0,0.0,0.0,-0.024999999999999998,-0.011,0.005,-0.016,-0.012,0.024,-0.005,0.011999999999999997,-0.005000000000000002,-0.019000000000000003,-0.006,0.0,-0.008,-0.012,-0.051000000000000004
8,0.05,0.075,0.032,0.0,0.0,0.0,0.0,-0.022,0.005,0.02,-0.005999999999999998,0.030000000000000002,-0.01,-0.009000000000000001,0.004999999999999998,-0.006,-0.012,-0.012,-0.016,-0.015,-0.025
9,0.034,0.06,0.008,0.0,0.006,0.005,-0.004999999999999999,-0.005999999999999999,0.0,0.010000000000000002,0.006,-0.002,0.003999999999999999,-0.005,-0.015,-0.02,-0.018000000000000002,-0.018000000000000002,-0.016,0.0,-0.051000000000000004
10,0.0,0.008,0.016,0.006,0.005,0.005,0.015,-0.011,0.0,-0.002,0.0,-0.004,0.016999999999999994,0.016999999999999998,0.009000000000000001,0.0039999999999999975,-0.015,0.04,-0.008,-0.008,0.0
11,0.003,0.018000000000000002,0.006,0.0,-0.02,0.018000000000000002,0.02,0.014000000000000002,0.02,-0.016,-0.007,-0.018000000000000002,-0.006000000000000001,0.0019999999999999966,0.013,-0.005,0.0,0.0,-0.018000000000000002,0.0,0.0
12,0.0,0.004,0.004,0.0,0.008,0.0,0.008,-0.005000000000000001,-0.016999999999999998,0.006,-0.006,0.015000000000000001,-0.016,-0.015,-0.005000000000000001,-0.008,-0.008,0.0,-0.004,-0.004,-0.004
13,0.0,-0.025,-0.021,0.009000000000000001,0.0,-0.03,-0.012,-0.004999999999999999,-0.001,0.006,-0.012,-0.018000000000000002,-0.017,0.005999999999999998,-0.024,-0.004,0.0,-0.009000000000000001,0.0,0.0,0.0
14,0.0,-0.017,-0.032,0.0,0.009000000000000001,-0.024,-0.028000000000000004,-0.024,0.002,-0.018000000000000002,0.0,-0.012,-0.019000000000000003,0.0,-0.012,-0.009000000000000001,-0.012,-0.003,0.0,-0.006,-0.002
15,0.0,0.0,0.0,-0.01,-0.024999999999999998,-0.004,-0.016,-0.003,-0.001,-0.015,-0.01,-0.015,-0.014000000000000002,-0.009000000000000001,-0.018,-0.006,-0.002,0.024,-0.002,0.0,-0.001
16,0.0,-0.016,-0.018,-0.02,-0.04700000000000001,-0.016,-0.002,-0.019,-0.024,-0.04,0.0,-0.005000000000000001,0.006000000000000001,-0.020999999999999998,-0.008,-0.006,-0.001,-0.004,-0.002,0.0,0.17
